Timestamp,koordinaatit
2014/01/22 6:19:54 AM GMT+2,"61.25628482058644,24.03430938720703"
2014/01/22 6:21:36 AM GMT+2,"60.209145976091186,24.88987773656845"
2014/01/22 6:23:19 AM GMT+2,"61.20447190739055,26.032040789723396"
2014/01/22 6:26:34 AM GMT+2,"60.447989214719925,22.253995165228844"
2014/01/22 6:26:44 AM GMT+2,"60.73512788879929,24.766946732997894"
