"Kalalaji","Ennätys","Päivämäärä","Kunta","Pyyntitapa"
"säyne","3,89 kg",<span class="hidden">2008.12.15</span>15.12.2008,"Kirkkonummi","verkko"
"seipi","0,179 kg",<span class="hidden">2013.08.23</span>23.8.2013,"Vihti","verkko"
"seitsenruototokko","4,5 cm",<span class="hidden">2002.06.08</span>8.6.2002,"Lempäälä","verkko"
"siika","7,08 kg",<span class="hidden">2007.07.29</span>29.7.2007,"Posio","onki"
"silakka","0,726 kg",<span class="hidden">2006.09.22</span>22.9.2006,"Vårdö","verkko"
"silokampela","0,465 kg",<span class="hidden">2006.03.27</span>27.3.2006,"Uusikaupunki","verkko"
"siloneula","30,0 cm",<span class="hidden">2001.06.09</span>9.6.2001,"Nokia","virveli"
"sorva","1,24 kg",<span class="hidden">2002.06.30</span>30.6.2002,"Turku","perho heitettynä"
"sulkava","1,124 kg",<span class="hidden">2012.02.24</span>24.2.2012,"Lohja","verkko"
"suutari","3,55 kg",<span class="hidden">2004.05.29</span>29.5.2004,"Kotka","virveli"
"tähtisampi","1,806 kg",<span class="hidden">2012.03.18</span>18.3.2012,"Inkoo","verkko"
"taimen (järvitaimen)","10,15 kg",<span class="hidden">2003.05.28</span>28.5.2003,"Kirkkonummi","verkko"
"taimen (meritaimen)","12,4 kg",<span class="hidden">2006.05.30</span>30.5.2006,"Piikkiö","rysä"
"täplärapu","19,8 cm",<span class="hidden">2010.09.16</span>16.9.2010,"Vantaa","sähkökalastus"
"täpläsilli","1,1 kg",<span class="hidden">2008.05.17</span>17.5.2008,"Porvoo","verkko"
"törö","17,2 cm",<span class="hidden">2008.07.10</span>10.7.2008,"Pyhtää","rysä"
"toutain","7,09 kg",<span class="hidden">2011.10.08</span>8.10.2011,"Lohja","haavi"
"turpa","3,27 kg",<span class="hidden">2013.01.01</span>1.1.2013,"Kotka","verkko"
"turska","3,360 kg",<span class="hidden">2001.08.29</span>29.8.2001,"Tervola","merta"
"vaskikala","14,5 cm",<span class="hidden">2002.08.27</span>27.8.2002,"Luumäki","merta"
"venäjänsampi","3,88 kg",<span class="hidden">2013.08.23</span>23.8.2013,"Parainen","merta"
"viisipiikki","5,1 cm",<span class="hidden">2008.06.13</span>13.6.2008,"Naantali","merta"
"villasaksirapu","8,5 cm",<span class="hidden">2009.08.24</span>24.8.2009,"Sysmä","ei tiedossa"
"vimpa","0,704 kg",<span class="hidden">2006.12.12</span>12.12.2006,"Parainen","verkko"
